design,method,lower_error_freq,upper_error_freq,coverage
276,WprevSeSp_gamma_result,0,0,1
277,WprevSeSp,0,0,1
277,WprevSeSp_gamma_result,0,0,1
278,WprevSeSp,0,0,1
278,WprevSeSp_gamma_result,0,0,1
279,WprevSeSp,0,0,1
279,WprevSeSp_gamma_result,0,0,1
280,WprevSeSp,0,0,1
280,WprevSeSp_gamma_result,0,0,1
281,WprevSeSp,0,0,1
281,WprevSeSp_gamma_result,0,0,1
282,WprevSeSp,0,0,1
282,WprevSeSp_gamma_result,0,0,1
283,WprevSeSp,0,0,1
283,WprevSeSp_gamma_result,0,0,1
284,WprevSeSp,0,0,1
284,WprevSeSp_gamma_result,0,0,1
285,WprevSeSp,0,0,1
285,WprevSeSp_gamma_result,0,0,1
286,WprevSeSp,0,0.0345,0.9655
286,WprevSeSp_gamma_result,0,0.0345,0.9655
287,WprevSeSp,0,0.1666,0.8334
287,WprevSeSp_gamma_result,0,0.1666,0.8334
288,WprevSeSp,0,1e-4,0.9999
288,WprevSeSp_gamma_result,0,1e-4,0.9999
289,WprevSeSp,0,0,1
289,WprevSeSp_gamma_result,0,0,1
290,WprevSeSp,0,0,1
290,WprevSeSp_gamma_result,0,0,1
291,WprevSeSp,0,0,1
291,WprevSeSp_gamma_result,0,0,1
292,WprevSeSp,0,0,1
292,WprevSeSp_gamma_result,0,0,1
293,WprevSeSp,0,0,1
293,WprevSeSp_gamma_result,0,0,1
294,WprevSeSp,0,0,1
294,WprevSeSp_gamma_result,0,0,1
295,WprevSeSp,0,0,1
295,WprevSeSp_gamma_result,0,0,1
296,WprevSeSp,0,0,1
296,WprevSeSp_gamma_result,0,0,1
297,WprevSeSp,0,0,1
297,WprevSeSp_gamma_result,0,0,1
298,WprevSeSp,0,0,1
298,WprevSeSp_gamma_result,0,0,1
299,WprevSeSp,0,0,1
299,WprevSeSp_gamma_result,0,0,1
300,WprevSeSp,0,0,1
300,WprevSeSp_gamma_result,0,0,1
301,WprevSeSp,0,0,1
301,WprevSeSp_gamma_result,0,0,1
302,WprevSeSp,0,0,1
302,WprevSeSp_gamma_result,0,0,1
303,WprevSeSp,0,0,1
303,WprevSeSp_gamma_result,0,0,1
