design,n_groups,coef_var,tests_per_group,prev,prop_groups_with_prev,group_distribution,n_groups_with_prev,group_prev,partition
289,50,0.1636529887077655,200,0.005,0.02,high,1,0.35585322709571277,6
290,50,0.1636529887077655,200,0.005,0.02,low,1,0.18747001959635645,6
291,50,0.1636529887077655,200,0.005,0.02,uniform,1,0.25050341620903654,6
292,50,0.1636529887077655,200,0.005,0.05,high,2,0.17732464540190895,6
293,50,0.1636529887077655,200,0.005,0.05,low,2,0.09542244410074585,6
294,50,0.1636529887077655,200,0.005,0.05,uniform,2,0.1256822078975015,6
295,50,0.1636529887077655,200,0.005,0.1,high,5,0.06739267776415007,6
296,50,0.1636529887077655,200,0.005,0.1,low,5,0.03918595172692287,6
297,50,0.1636529887077655,200,0.005,0.1,uniform,5,0.050022652816322136,6
298,50,0.1636529887077655,200,0.005,0.25,high,12,0.026245889287736628,6
299,50,0.1636529887077655,200,0.005,0.25,low,12,0.017124131039680725,6
300,50,0.1636529887077655,200,0.005,0.25,uniform,12,0.020827872111155752,6
301,50,0.1636529887077655,200,0.005,0.5,high,25,0.011580598661149003,6
302,50,0.1636529887077655,200,0.005,0.5,low,25,0.008799046452657376,6
303,50,0.1636529887077655,200,0.005,0.5,uniform,25,0.00999685216541212,6
304,50,0.1636529887077655,200,0.005,0.75,high,38,0.007062003447354554,6
305,50,0.1636529887077655,200,0.005,0.75,low,38,0.0061766982149544705,6
306,50,0.1636529887077655,200,0.005,0.75,uniform,38,0.006583920528753146,6
307,50,0.1654078285124838,200,0.005,0.02,high,1,0.3552311722827827,6
308,50,0.1654078285124838,200,0.005,0.02,low,1,0.1804136779432562,6
309,50,0.1654078285124838,200,0.005,0.02,uniform,1,0.24866190817677725,6
310,50,0.1654078285124838,200,0.005,0.05,high,2,0.17506510602163883,6
311,50,0.1654078285124838,200,0.005,0.05,low,2,0.09217178256612883,6
312,50,0.1654078285124838,200,0.005,0.05,uniform,2,0.12423350020737532,6
313,50,0.1654078285124838,200,0.005,0.1,high,5,0.06845959669535352,6
314,50,0.1654078285124838,200,0.005,0.1,low,5,0.03875329897672904,6
315,50,0.1654078285124838,200,0.005,0.1,uniform,5,0.05009781086310488,6
316,50,0.1654078285124838,200,0.005,0.25,high,12,0.02668043701010367,6
317,50,0.1654078285124838,200,0.005,0.25,low,12,0.01718901911238912,6
318,50,0.1654078285124838,200,0.005,0.25,uniform,12,0.020944603770951448,6
319,50,0.1654078285124838,200,0.005,0.5,high,25,0.011526691343963658,6
320,50,0.1654078285124838,200,0.005,0.5,low,25,0.008830424740879122,7
321,50,0.1654078285124838,200,0.005,0.5,uniform,25,0.010027840525833514,7
322,50,0.1654078285124838,200,0.005,0.75,high,38,0.007051026400852025,7
323,50,0.1654078285124838,200,0.005,0.75,low,38,0.006153113287723368,7
324,50,0.1654078285124838,200,0.005,0.75,uniform,38,0.006593896143291637,7
325,50,0.17122051214569328,200,0.005,0.02,high,1,0.4103259728242534,7
326,50,0.17122051214569328,200,0.005,0.02,low,1,0.16288458541411893,7
327,50,0.17122051214569328,200,0.005,0.02,uniform,1,0.24999819329406597,7
328,50,0.17122051214569328,200,0.005,0.05,high,2,0.20058639259581507,7
329,50,0.17122051214569328,200,0.005,0.05,low,2,0.08812565945155564,7
330,50,0.17122051214569328,200,0.005,0.05,uniform,2,0.124291025433514,7
331,50,0.17122051214569328,200,0.005,0.1,high,5,0.07118603776419984,7
332,50,0.17122051214569328,200,0.005,0.1,low,5,0.0385022558418795,7
333,50,0.17122051214569328,200,0.005,0.1,uniform,5,0.04997291332697341,7
334,50,0.17122051214569328,200,0.005,0.25,high,12,0.02671223524547368,7
335,50,0.17122051214569328,200,0.005,0.25,low,12,0.017195440328736242,7
336,50,0.17122051214569328,200,0.005,0.25,uniform,12,0.0208833137124224,7
337,50,0.17122051214569328,200,0.005,0.5,high,25,0.011483941867208693,7
338,50,0.17122051214569328,200,0.005,0.5,low,25,0.008855679232170906,7
339,50,0.17122051214569328,200,0.005,0.5,uniform,25,0.010011731878676662,7
340,50,0.17122051214569328,200,0.005,0.75,high,38,0.007049946482136626,7
341,50,0.17122051214569328,200,0.005,0.75,low,38,0.006151424517897655,7
342,50,0.17122051214569328,200,0.005,0.75,uniform,38,0.006601206296968913,7
343,50,0.2289712915698018,200,0.005,0.02,high,1,0.434293782034933,7
344,50,0.2289712915698018,200,0.005,0.02,low,1,0.17261012210048127,7
345,50,0.2289712915698018,200,0.005,0.02,uniform,1,0.2514097264355743,7
346,50,0.2289712915698018,200,0.005,0.05,high,2,0.21470284771960332,7
347,50,0.2289712915698018,200,0.005,0.05,low,2,0.08759806170166508,7
348,50,0.2289712915698018,200,0.005,0.05,uniform,2,0.1268381293415072,7
349,50,0.2289712915698018,200,0.005,0.1,high,5,0.07947532189967399,7
350,50,0.2289712915698018,200,0.005,0.1,low,5,0.035812517724334976,7
351,50,0.2289712915698018,200,0.005,0.1,uniform,5,0.05017245846960242,7
